page,keyword,content,user,time,reposts,comments,likes,url
1,巴黎奥运会开幕式,#奥运会##巴黎奥运会开幕式#时差也挡不住我看开幕式，哈哈哈当然​了，中间是该睡睡该醒醒✨中国奥运天团 ❤️ 🇨🇳加油期待后面国乒的每一场比赛龙队加油🇨🇳 2廊坊·东方花园 ​,KellyQFQ,2024-07-27 06:02,0,2,0,https://weibo.com/5545102155/Opreb2qN5
1,巴黎奥运会开幕式,#精彩巴黎奥运会# 【#巴黎奥运开幕式主火炬点燃#！祝福所有中国运动员】作为主火炬台的热气球缓缓升空！奥林匹克之火点燃，奥林匹克精神生生不息！祝福每一位中国运动员，实现梦想、赛出风采。加油！#巴黎奥运主火炬点燃#（图/视觉中国） ​​​,人民网,2024-07-27 06:02,0,1,2,https://weibo.com/2286908003/Opre628GM
1,巴黎奥运会开幕式,#巴黎奥运主火炬点燃#【#席琳迪翁埃菲尔铁塔献唱# 】#席琳迪翁复出献唱#巴黎奥运开幕式# 伴随着巴黎奥运会开幕式主火炬升空，席琳·迪翁亮相埃菲尔铁塔献唱。这也是她生病后的首次公开演出。席琳·迪翁带来了一首法国经典歌曲，欢迎每一位运动员的到来。 L第1眼视频的微博视频 ​​​,北京大峰峰,2024-07-27 06:02,0,0,1,https://weibo.com/5816161945/Opre5gBaQ
1,巴黎奥运会开幕式,昨晚十点多的时候，问胖子看开幕式不？喝咖啡不？胖子说喝！于是手冲了椰香冰美式，熬大夜看完了巴黎奥运会开幕式整个开幕式的布置真的好简陋，但又真的好自由好浪漫！在雨中跑酷传递圣火/在河上弹火钢琴/歌剧与摇滚/小黄人偷走了蒙娜丽莎/最后的晚餐T台秀/女骑手在水上骑马传递会旗/席琳迪翁在埃菲尔铁塔上唱歌/百岁奥运冠军传递圣火/热气球圣火台……好多意想不到的画面，不愧是浪漫的法国人。但时长还是太长了！最后圣火会旗在塞纳河上来来回回传递，好希望有一键加速功能！看着电视里头的开幕式由天亮到天黑，我这里由天黑到天亮终于可以躺床睡觉了 ,Lemon柠檬茶呀,2024-07-27 06:02,0,0,0,https://weibo.com/2208490920/Opre4EXsH
1,巴黎奥运会开幕式,法国人的浪漫真是刻进骨子里。巴黎奥运会没有困难也要制造困难🌧️淋雨看开幕式这种苦真的不是非吃不可。用我们潮汕的的话，这叫“磨苦债”🤣#巴黎奥运会##奥运会开幕式# 2法国·塞纳河 ​,晓琳Song,2024-07-27 06:02,0,1,0,https://weibo.com/1584611274/Opre46Rmi
1,巴黎奥运会开幕式,我天呢光看首页的视频已经看哭了，太好了，我要去认认真真看巴黎奥运会开幕式完整版 ​,谁说我不是Aloy变的猫,2024-07-27 06:02,0,0,0,https://weibo.com/1720605740/Opre3rV4M
1,巴黎奥运会开幕式,#巴黎奥运主火炬台点燃#【#巴黎奥运火炬台是一个热气球#】这个热气球高30米，直径22米，底部的筐直径7米。这个热气球就是本届奥运会的火炬台。#巴黎奥运开幕式# ​​​@央视新闻 ​,李干观世界,2024-07-27 06:02,0,0,0,https://weibo.com/5284658364/Opre33J0c
1,巴黎奥运会开幕式,巴黎奥运会开幕式新奇、绚烂、充满活力，展现了法国文化的丰富、悠久、深厚和包容。内地儿值得去一趟。对演员的形象选择很诧异，好像半数以上都是非裔。还有颇难接受的“性别时尚”。对法国美女的审美还停留在苏菲玛索上。开场还算惊艳，尾声环节太拖沓。那些dancer是来打酱油凑时间的吗#2024年巴黎奥运会# 2北京·学清路 ,无缘怎解醉中意,2024-07-27 06:02,0,0,0,https://weibo.com/1401147497/Opre0A6u2
1,巴黎奥运会开幕式,2024年7月27日，巴黎奥运会开幕！国乒马龙、樊振东、梁靖崑、李隼、秦志戬参加开幕式！ ​,细雨蒙蒙lsj,2024-07-27 06:02,0,0,0,https://weibo.com/7468335337/Opre0fcPO
1,巴黎奥运会开幕式,各大博主都在夸巴黎奥运会的开幕式，我只想说不如索契冬奥会开幕式一根毛，老毛子确实没落了，但搞艺术，老毛子的天赋是骨子里的，索契冬奥会的开幕式是我近几年看的奥运会里最好的，我在b站看了三遍，顺带学了一下俄罗斯的历史，真的艺术啊，爱的我不要不要的。老毛子是真的可惜，每次说什么艺术啥的因为没落都不带他，但是论艺术，我骨子里绝的谁都比不上他 ,一个不会吵架的佛系路人,2024-07-27 06:02,0,0,0,https://weibo.com/5481899692/OprdXrMYJ
2,巴黎奥运会开幕式,巴黎奥运会开幕式中国代表团入场#巴黎奥运会##马龙# L唐朝的土豆的微博视频 ​,唐朝的土豆,2024-07-27 06:02,0,2,0,https://weibo.com/5100085568/OprdUCb25
2,巴黎奥运会开幕式,#巴黎奥运会开幕式# 我勒当旗手，怎么像领着小弟去砍人一样 ​,阿基看球,2024-07-27 06:02,0,0,0,https://weibo.com/5324856650/OprdU2YC2
2,巴黎奥运会开幕式,从未想过这么多年后在央视解说里再次听到这首歌，真的热泪盈眶了。悲惨世界要再看几遍！#巴黎奥运会开幕式# ​,JokerLp_zip,2024-07-27 06:02,0,0,0,https://weibo.com/3645686344/OprdTqf5n
2,巴黎奥运会开幕式,今年最遗憾的事就是没在巴黎看奥运会开幕式//@朋克小狗认真备考版:“一个民族最动人的永远是它要传递出来的价值观”//@flaneur22:真的！热泪盈眶了！//@用户12347654321:再配上不同国家的文字语言 真的太震撼了 向世界呼喊 向女性致敬,樽山槐,2024-07-27 06:02,0,0,0,https://weibo.com/7766686202/OprdTtxi9
2,巴黎奥运会开幕式,樊振东超话#樊振东巴黎奥运会加油##巴黎奥运开幕式# 五星红旗迎风飘扬 从16年里约到24年巴黎 今夕何夕 从所有看到的图频中 隔着屏幕能感受到你的开心 好好享受巴黎奥运之旅 为你加油为你祝福@樊振东 ​,咸鱼遇自由与光,2024-07-27 06:02,0,0,0,https://weibo.com/1732444693/OprdSzclM
