page,keyword,content,user,time,reposts,comments,likes,url
1,巴黎奥运会开幕式,#巴黎奥运开幕式#开幕式意外的好看诶，好看不是这届节目编排得都整齐，舞台有多宏大；而且立意（比如女性主义的致敬）和节目串联（用法国特有的文化作为各个节目篇章之间的过渡）。以及，把舞台放到城市时间让奥运会和大众之间的距离拉近了，让奥运会融入了城市生活。 ​,花椒蹄花汤,2024-07-27 03:49,0,0,0,https://weibo.com/5240000899/Opqm4pDio
1,巴黎奥运会开幕式,樊振东超话#2024巴黎奥运开幕式##樊振东# 看樊咚咚在开幕式上笑得真叫一个阳光灿烂，他是真开心啊！奥运会真的开始了！比赛马上就要来了！加油啊#樊振东巴黎奥运会加油# Cr 水印🚫禁止快转 ​,F-健康涨球,2024-07-27 03:49,0,0,1,https://weibo.com/3579896534/Opqm024Rj
1,巴黎奥运会开幕式,为什么我觉得所有人都应该看巴黎奥运会开幕式，女性主义、LGBTQ、多人种的高歌...巴黎奥运会以一种创翻所有老清朝人的疯感（引用了看到的别人很有意思的表达）把这些思想堂堂搬上奥运会这样吸引着全球目光的开放国际平台，让我产生一种忽如一夜春风来的福至心灵之感，仅在此刻我才突然回想起奥运会真正存在的意义。所有人都该接受世界上正在产生并蓬勃发展的思想新浪潮的冲击与洗礼！（暴论）虽然这也并不“新潮” 了，更多的是相对而言的 ,five·sixxxx,2024-07-27 03:49,1,0,2,https://weibo.com/6535964168/Opqm024NM
1,巴黎奥运会开幕式,【#双奥之城北京两次经典点火仪式#】巴黎奥运会开幕式正在进行中，稍后#巴黎奥运会主火炬点燃#，而点燃方式是备受瞩目的看点之一。作为双奥之城，北京为世界奉献了两次经典的点火仪式。除此以外，还有哪届奥运会的点火仪式令你印象深刻？#巴黎奥运开幕式# ​,中国新闻网,2024-07-27 03:49,0,0,2,https://weibo.com/1784473157/OpqlYooLJ
1,巴黎奥运会开幕式,就凭这个巴黎奥运会开幕式在我心里已经是next level了 ​,leggo430,2024-07-27 03:49,0,0,0,https://weibo.com/1781468525/OpqlX3Fke
1,巴黎奥运会开幕式,#雨中扛旗的龙队# 巴黎奥运会开幕式，旗手马龙 冯雨雨中扛旗！雨很大，笑容很灿烂中国队加油！#马龙奥运神图# | #全民聊奥运# L麦子哥哥QaQ的微博视频 ​,麦子哥哥QaQ,2024-07-27 03:49,0,0,0,https://weibo.com/3847642518/OpqlVxGAZ
1,巴黎奥运会开幕式,樊振东超话🏓#樊振东巴黎奥运会加油# 【20240726】#2024年巴黎奥运会#【开幕式图片&视频】cr.鹿泽文 ​,FanDomiNation丨樊振东星光簿,2024-07-27 03:49,0,0,5,https://weibo.com/6348877826/OpqlVr5jx
1,巴黎奥运会开幕式,#巴黎奥运开幕式#第一次参加奥运会就是喜欢拍照记录#库里# ​,斯蒂芬-库里,2024-07-27 03:49,0,1,0,https://weibo.com/2042179103/OpqlVAYYY
1,巴黎奥运会开幕式,巴黎奥运会开幕式的平等自由和对民族历史文化的真正自信甩在zym等等爹味老钟顺直导演面前看外面的世界发展成什么样子了 ​,ariXXX-,2024-07-27 03:48,0,0,3,https://weibo.com/5261861192/OpqlVaAii
1,巴黎奥运会开幕式,我很喜欢巴黎这次奥运会开幕式，她是我历届奥运会开幕式发自内心很喜欢的一次。 ​,推倒王道,2024-07-27 03:48,1,0,10,https://weibo.com/1883527403/OpqlR1kEp
2,巴黎奥运会开幕式,#巴黎奥运会开幕式# 星幻！！！Au secours！！！J'ai besoin d'amour！！！ ​,我只想改个昵称为什么不让我改,2024-07-27 03:48,0,1,0,https://weibo.com/6286961367/OpqlP4XxT
2,巴黎奥运会开幕式,#巴黎奥运会开幕式# 我需要开幕式歌单…好好听 ​,露小漾,2024-07-27 03:48,0,0,5,https://weibo.com/1022230862/OpqlNChcn
2,巴黎奥运会开幕式,#巴黎奥运开幕式#看到乌克兰出来的时候，主持人说了在日本奥运会，“紧拿到一块金牌”，这个紧用得好。还有这哥们上衣都没穿（看来是想秀一播肌肉 ​,仰望无边无际的你,2024-07-27 03:48,1,0,1,https://weibo.com/2646332794/OpqlNkGhy
2,巴黎奥运会开幕式,#巴黎奥运会开幕式# L笙笙烟的微博视频 ​,笙笙烟,2024-07-27 03:48,0,0,5,https://weibo.com/1768575095/OpqlMiE1c
2,巴黎奥运会开幕式,#巴黎奥运会开幕式##中国运动员开心自拍# 塞纳河最亮眼的红，中国运动员们在游轮上开心自拍。#中国体育战巴黎# ​,中国体育,2024-07-27 03:48,0,3,3,https://weibo.com/1496862394/OpqlL06nj
2,巴黎奥运会开幕式,#巴黎奥运会开幕式#越南这首bjm是什么 ​,佩翰_hhh,2024-07-27 03:48,0,0,0,https://weibo.com/5585978837/OpqlGwOk8
2,巴黎奥运会开幕式,看巴黎奥运会开幕式十个杰出女性升起来是有点子震撼的国歌也是全女歌唱家合唱去翻了下会徽和吉祥物的由来很难不让人感动该说不说巴黎奥运会真的很适合大半夜观看有种平静的疯感还竟然能找到意义 ​,今天鹅鹅退休了吗,2024-07-27 03:48,0,1,11,https://weibo.com/6294319121/OpqlFjM18
2,巴黎奥运会开幕式,#巴黎奥运开幕式#法国不愧是时尚之都，这办奥运会开幕式的思路跟大牌办秀场一样一样的。场地必须是有范的大型观光地；来点短片营造氛围和转场；再讲点儿女权和女性意识，最好再来个具体的女性人物，这样人文关怀跟自由解放的概念就出来了，保障活动格调。要有很多很多的助演嘉宾，再加一些或漂亮或丑陋的衣服，以及时不时冒出来在秀场上拿着标语捣乱的某些组织人员，齐活了。 ,未艾唯爱,2024-07-27 03:48,0,0,2,https://weibo.com/2291883813/OpqlD2uWa
2,巴黎奥运会开幕式,#巴黎奥运开幕式#想毛子🇷🇺了……没有大鹅的奥运会总觉缺点什么 ​,摘星星的海盗船长,2024-07-27 03:48,0,0,0,https://weibo.com/3625391710/OpqlBxCr4
2,巴黎奥运会开幕式,巴黎奥运会开幕式颂扬不同时期的女性先驱！❤️#巴黎奥运会##巴黎奥运开幕式##巴黎奥运 女性主义# ​,雅文同学_,2024-07-27 03:48,0,1,3,https://weibo.com/1504097307/OpqluEfzp
3,巴黎奥运会开幕式,开幕式把运动员进场和文艺表演结合在同一个时空里，那也只能取舍了。当然，未来的技术进步或许有更好的办法。#2024年巴黎奥运会# ​,彭延媛pyy,2024-07-27 03:48,0,0,2,https://weibo.com/1364631554/OpqlumEoB
3,巴黎奥运会开幕式,【#巴黎奥运会奖牌制作过程#】巴黎奥运会开幕式揭秘奖牌制作过程，每一枚奖牌的中心都嵌有来自巴黎埃菲尔铁塔的铁片。#巴黎奥运会开幕式来了# L猛犸新闻的微博视频 ​,猛犸新闻,2024-07-27 03:48,0,0,0,https://weibo.com/1672519561/Opqltgdjz
3,巴黎奥运会开幕式,伟大的巴黎奥运会开幕式 ​,Heureux_Jeong1008,2024-07-27 03:48,0,0,2,https://weibo.com/7309123597/OpqlrBrbk
3,巴黎奥运会开幕式,#巴黎奥运会开幕式#  ​,OhayooOhio,2024-07-27 03:48,0,0,0,https://weibo.com/5894111178/Opqls24CT
3,巴黎奥运会开幕式,突然想到一个问题，巴黎奥运会开幕式竟然按时按点举办了（不是 ​,每天多加点幸运,2024-07-27 03:48,0,0,1,https://weibo.com/5450721786/Opqlr9W70
3,巴黎奥运会开幕式,这一届奥运会开幕式真的还可以，创意的点很多，穿插着的法国人民日常反殖民反封建，各种文学著作，经典曲目，哲学思潮都基本有提到，甚至是巴黎公社，女性平权运动都有提到。有的地方央视网解说也是不敢解说，属于是冰火不容了。  入场穿插表演这个点也很漂亮。只是少了一种节日的氛围，感觉不如北京，伦敦办的有氛围。但是最后现场呈现出很凑活的感觉，估计和室外，以及日常strike导致完工效率低下导致的，但至少比东京奥运会摆不清自己定位好得多。  但是后面一个黑人，一个跨性别，一个女性，真的.....太新自由主义思潮，传统视角下，在中国一般人真的很难接受了。其他的lgbtq元素都还好，都在人的接受范围之内。看抖友的弹幕真觉得为什么年龄都这么大，讨论地缘政治，意识形态还跟个小朋友似的。 ,Eimy_0202,2024-07-27 03:48,0,0,5,https://weibo.com/5529348549/OpqlpfL2x
3,巴黎奥运会开幕式,#法国要不要擦下镜头呢# 巴黎奥运会开幕式，镜头主打含水量！巴黎奥运会超话 ​,老陕不懒,2024-07-27 03:48,0,2,1,https://weibo.com/1226379735/OpqlmirvQ
3,巴黎奥运会开幕式,蒙面火炬手是致敬《刺客信条》吗🤔是我错过了什么吗？中国队的镜头怎么还没有看到#巴黎奥运会##巴黎奥运开幕式# ​,乐多不加冰,2024-07-27 03:48,0,3,0,https://weibo.com/2694308951/Opqlld6F4
3,巴黎奥运会开幕式,法国不愧是最懂自己人顾拜旦的，顾拜旦奥运的初衷：除去竞技体育本身之外，奥运会还需要其他元素。我们渴望看到某个民族的特性、诗意的怒放、对美的崇拜 —— 它们都是深深植根于古代奥运会的固有突出特点，有足够的理由在我们如今的时代延续。”看了开幕式，我觉得巴黎奥运会将这种精神延续了下来。路易十四花大钱改造了巴黎，使之替代意大利成为世界的艺术中心，建造的凡尔赛宫、卢浮宫、许多艺术文化机构，今天成为了奥运各项目举办地。古典主义、启蒙运动、洛可可、新浪潮、女性主义、美与实用等等非常法国的特质融为一体，让开幕式独特、有趣、文学性、电影感、电子派对、很法国。整齐划一的东亚集体主义是一种秩序美，但巴黎也无需如此，毕竟欧洲从18世纪已经是一个重视个人的时代。巴黎的自由，不是文化人知识分子们才拥有的自由，巴黎希望每个人都开发自己的心灵。雨也添了浪漫一笔！ ,Bubu,2024-07-27 03:48,0,1,7,https://weibo.com/1180433981/Opqllo6ul
3,巴黎奥运会开幕式,德国佬看巴黎奥运会开幕式 哈欠连天  ​,Fred的妖里格妖,2024-07-27 03:48,0,0,0,https://weibo.com/1862633100/OpqlkvY8b
4,巴黎奥运会开幕式,巴黎奥运会开幕式真的太好看了 可以打99分 扣的一分给天气 ​,PepciKola,2024-07-27 03:48,0,0,4,https://weibo.com/5856338424/Opqlj2qD1
4,巴黎奥运会开幕式,最艺术的：#巴黎奥运会##巴黎奥运开幕式# ​,夏洛北辰,2024-07-27 03:48,1,1,3,https://weibo.com/5120033071/OpqlirTkv
4,巴黎奥运会开幕式,【米國大選與奧運會】想看比巴黎更先鋒的2028奧運會開幕式——投給驢黨想看比巴黎更傳統的2028奧運會開幕式——投給象黨 ​,禾几日月,2024-07-27 03:48,0,2,14,https://weibo.com/3055664430/OpqlhyEsu
4,巴黎奥运会开幕式,是他…剧院魅影在巴黎奥运会游荡！巴黎奥运会火炬传递最后一棒地下湖，点点灯光，经典旋律突然响起🎵船夫竟是“魅影”不知道大家都捕捉到了吗～ #英文原版剧院魅影##音乐剧剧院魅影##2024年巴黎奥运会##巴黎奥运会开幕式# ​,音乐剧剧院魅影,2024-07-27 03:47,1,0,6,https://weibo.com/7433988313/OpqlfjzN3
4,巴黎奥运会开幕式,#谷爱凌开幕式红毯比心#【#谷爱凌要参加奥运会马拉松#】#巴黎奥运开幕式# 8月10日谷爱凌要参加奥运会马拉松，本届奥运会组委会在马拉松项目上设立了“大众赛道”并邀请了，来自全球的40048名马拉松爱好者参赛，这次马拉松是谷爱凌第一次参加马拉松，她已经训练了一个星期，希望到时可以展现出奥运精神。（综合央视新闻、咪咕体育） L第1眼视频的微博视频 ,贝果财经,2024-07-27 03:47,1,0,1,https://weibo.com/6248544856/Opqld2iJu
4,巴黎奥运会开幕式,#巴黎奥运开幕式# 巴黎奥运会一声炮响给央视带来了同性恋，央视左切右切都没切走。 ​,timonthea,2024-07-27 03:47,1,3,10,https://weibo.com/3608025134/Opqld2izX
4,巴黎奥运会开幕式,生日跟#巴黎奥运会开幕式#同一天，无比的幸运了。巴黎奥运会超话 L摄影师陈会玩的微博视频 ​,摄影师陈会玩,2024-07-27 03:47,0,0,0,https://weibo.com/1937574031/Opqlcxgdu
4,巴黎奥运会开幕式,#巴黎奥运开幕式# 其实运动员游船出场挺好的，因为他们才是奥运会主角，跟节目连接起来真的不无聊，幸好我们国家提前出来了，越黑越看不见运动员了 ​,白色的一朵云,2024-07-27 03:47,0,1,5,https://weibo.com/5187577089/OpqlceyTy
4,巴黎奥运会开幕式,#巴黎奥运会开幕式# 没睡在看 ​,枳枳安,2024-07-27 03:47,0,0,3,https://weibo.com/1926304587/OpqlceyRD
4,巴黎奥运会开幕式,#巴黎奥运开幕式# 乌克兰代表团的男运动员在奥运会结束后还回不回国啊？ ​,无心简影,2024-07-27 03:47,1,4,8,https://weibo.com/5564927603/OpqlbrVjQ
5,巴黎奥运会开幕式,宣布巴黎奥运会开幕式才是全球暑期档最好看的 ​,纳波利突兔机,2024-07-27 03:47,0,0,9,https://weibo.com/6624426836/Opql7oaCh
5,巴黎奥运会开幕式,#巴黎奥运开幕式# 哈哈，还真有人看这玩意呀？！奥运会？！一个多么熟悉又陌生的词儿！ 酝酿超级牛市 ​,万点昊,2024-07-27 03:47,0,1,1,https://weibo.com/3050893364/OpqkWaxXj
5,巴黎奥运会开幕式,觉得巴黎奥运会开幕式很混乱是吗混乱就对了，正是现在法国的现状要传统，要浪漫，要历史，要底蕴，还要政治正确，要选票。糅合成现在的法兰西。他们甚至把罢工摆烂和自嘲都糅合一起了。 ​,橘月夜,2024-07-27 03:46,0,1,17,https://weibo.com/1730153845/OpqkO0Qoi
5,巴黎奥运会开幕式,#2024年巴黎奥运会# 开幕式有种低开高走的感觉，后面越来越好看啦！戏梦巴黎、小黄人、女性主义、lgbt…真的有被惊喜到！ ​,加了冰的芙力草莓,2024-07-27 03:46,0,1,5,https://weibo.com/2968504942/OpqkMFRsE
6,巴黎奥运会开幕式,#巴黎奥运开幕式#实在困得不行早早入睡没关灯 一觉醒来发现这次奥运会开幕式这么有趣啊 哈哈哈 果然还得是巴黎 致敬女性 还有真多乐点 ​,最爱宝贝的聪明可爱,2024-07-27 03:46,0,0,0,https://weibo.com/6512708924/OpqkMCyZY
6,巴黎奥运会开幕式,看完巴黎奥运会开幕式打算从今往后认认真真去了解女性主义。我也想在这个领域，尽我所能去发声。 ​,J书签中的永远Z,2024-07-27 03:46,1,1,5,https://weibo.com/3701470337/OpqkFCB0P
6,巴黎奥运会开幕式,希腊代表团第一个入场，首次代表希腊出战奥运会的男篮运动员扬尼斯-阿德托昆博，与希腊女子竞走运动员安提戈尼-德里斯比奥蒂将共同作为希腊旗手！#巴黎奥运会开幕式##篮球热力一夏#字母哥阿德托昆博超话@字母哥小编Baron彬仔 ​,扬尼斯-阿德托昆博-中文网,2024-07-27 03:46,0,0,0,https://weibo.com/1810814861/OpqkFgB0L
6,巴黎奥运会开幕式,#戏梦巴黎##巴黎奥运会开幕式#听到马赛曲看到自由引导人民就感受到高级文化气息的列位社畜们！你们不为开幕式里没有巴黎拉雪兹神父公墓情节而感到遗憾吗？你们到底有没有文化！ ​,乘桴江湖,2024-07-27 03:46,0,0,2,https://weibo.com/1779176321/OpqkEfEY5
6,巴黎奥运会开幕式,#巴黎奥运会开幕式# 很法式 很法式 很法式 ​,我吃饱了就想睡o,2024-07-27 03:46,0,0,2,https://weibo.com/6365307154/OpqkEfEJj
6,巴黎奥运会开幕式,#巴黎奥运会#开幕式挺亲民的 确实挺有法国特色 另外歌单不错 搞得我想看歌剧音乐剧了 整体来说可以勉强交卷了 ​,MM_mania,2024-07-27 03:46,0,1,0,https://weibo.com/6257235679/Opqkzpgvq
6,巴黎奥运会开幕式,巴黎奥运会开幕式，与以往截然不同的形式，沿着塞纳河，全城狂欢，全员投入，其实这就是体育运动的真缔 ​,龙虎山的一亩三分地,2024-07-27 03:46,1,0,6,https://weibo.com/1667714392/OpqkxabJu
6,巴黎奥运会开幕式,#奥运会开幕式##巴黎奥运开幕式##闪耀奥运赛场的中国骄傲#第一次在新闻中心和全世界各地的记者媒体同行一起看开幕式，最大的感受就是每一个人都是自己国家的代表。但给自己的国际入场时，都会自发鼓掌自high一下！我也不例外！中国队进场时，我还冲着屏幕欢呼了！要知道，国家认同和民族认同是留在这个时期每个地球人血液里的，谁也不要“伟光正”地上帝视角拿这个指责对方！这就是奥运会的魅力之一！ ,我是李翔,2024-07-27 03:46,1,0,5,https://weibo.com/1370674384/Opqkx3AHc
6,巴黎奥运会开幕式,【#中国队来了#】巴黎奥运会开幕式中国代表团入场，马龙擎旗意气风发。#巴黎奥运会开幕式来了# L猛犸新闻的微博视频 ​,猛犸新闻,2024-07-27 03:46,0,0,0,https://weibo.com/1672519561/OpqkwzEiw
6,巴黎奥运会开幕式,#巴黎奥运开幕式#这奥运会办的特像刚打完世界大战世界人民急需一场盛会重拾希望但是时间仓促我老法兰西虽然战争受到重创可底蕴还在承办了奥运会^_^首先安排的这些舞蹈 并不是很适合他的场地和他的表演形式 这种线性的场地 更适合希腊那年的那种移步换景的类型 现在就是他们现在就是一帮人跳的贼卖力 效果还很差 这些东西 单独拿出来看都是好东西 但是完全不适合开幕式 而且道具制景完全没有摄影也很一般 甚至那个刺客信条火炬手 明明是提前拍的片子 怎么烂成这样 普通b站up主的水平影视飓风都比他拍的好 从设想 到立意  到节目的演员 都很好 但是凑一块就是很拉胯 别扯什么法国人的松弛感……整体来看就是拉了坨大的 ,·28th·,2024-07-27 03:46,0,0,9,https://weibo.com/7566977902/OpqkvdOFB
7,巴黎奥运会开幕式,喜欢巴黎奥运会开幕式的创意和审美重金属🧐+歌剧，绝了。致敬新浪潮那里，简直了哈哈，替老中人尴尬喜欢导演对空间的调度和利用各种楼顶、三脚架、塞纳河沿岸的建筑街头表演，混搭舞台艺术和装置艺术就真的很法国🇫🇷这届开幕式感觉很轻盈看起来随意，其实还挺精致的几乎塞满了法国引以为傲的东西LV、电影、服装、歌剧、文学… 自由以及卢浮宫里从世界各国偷来的艺术品那一艘艘船上载着各种肤色和旗帜好像是狂欢又好像是世界各族人都挤在一条船上共同航行在不确定的河道上#2024年巴黎奥运会# ,彤彤AmyHuo,2024-07-27 03:46,0,0,5,https://weibo.com/1655720793/OpqkuutA0
