page,keyword,content,user,time,reposts,comments,likes,url
1,油罐车事件,#罗翔谈油罐车混装事件#大家也是持续关注着这样的一件事情啊，我也是希望可以尽快圆满的解决。 ​,Q_aimee,2024-07-09 23:00,0,0,0,https://weibo.com/6116568957/OmOcb4PFI
1,油罐车事件,看了油罐车事件 啊啊啊哪我点点奶茶吃点外卖怎么了 吃啥都是死呵呵 ​,AAAA兰博基尼批发小肖,2024-07-09 22:59,0,4,1,https://weibo.com/6537512252/OmOc7iFoS
1,油罐车事件,#罐车化工油食用油混装或涉违法犯罪#【南财V快评丨层层失守，何以至此？】这种混装行为不仅是对《食品安全法》的公然挑衅，更是对消费者生命健康的极端漠视。对于运输方来说，最终还是钱的问题，为的是可以省下数百元的清洗费用。但对于食用液体出入库的管理方，坚称“不验罐是因为没办法分辨”，则完全令人咋舌。相信这不是因为无能，而是无德、无责任心导致的助纣为虐。#国务院食安办回应油罐车事件##中储粮油厂门口油罐车司机称没活干# O网页链接 ,作家王京,2024-07-09 22:59,3,3,16,https://weibo.com/1276821910/OmOc07HtX
1,油罐车事件,‍金龙鱼严正回应：混装油罐车事件与本公司无​关，坚持食品安全至上#食用油混运警钟##食用油混运危机##化工车拉食用油##食用油混运混乱# 近日，一则关于混装油罐车被曝曾进入金龙鱼厂区的_消息引 发了广泛关注和热议。⁡对此，金龙鱼食⁡品集团股份有限公司迅速﻿作出回应，强调公司一直⁢严格遵守食品安全法规，对食用油运输环节有严格的监管措施，坚决维护消费者权益。﻿---​事件回顾据媒体报道，有罐车在卸⁠完煤制油等化工类液体后，未经彻底清洗，即被⁢用于运输食用油，涉及多家知名粮油企业。_‍其中，有网传信息称一辆‌涉事车辆曾进入位于陕西咸阳市的益海嘉里（兴平）食品工业有限公司厂区内，该公司为金龙鱼食品 集团成员。​​﻿金龙鱼严正声明金龙鱼食品集团对此事高度重视，第一时间发表声明，强调公司一直将食品安全放在首位，对食用油运输环⁡节有严格的监管措施。‍_声明指出‌，金龙鱼各工厂生产的食用油均是在自有⁠工厂内进行桶装作业，之后按照严格的规范流程进行运输，确保产品在整个生产、运输过程中的质量安全。公司表示，从未使用过外部油罐车进行食﻿用油运输，所有运输车辆均‍符合《食用植物油散装运输规范》的相关要求，并经过严格⁠的查验、检验手续。_同时，金龙鱼还强调，公司建立了完善的质量追溯体系，确保每一桶食用油都能‍追溯到源头，为消费者_提供安全、可靠的‌食品保障。深入自查，确保食品安全针对此次事件‌，金龙鱼集团迅速组织内部自查，对旗下​各工厂的食﻿用油运输环节进行全面检查。 自查结果显示，​集团各企业在散装食用油⁢安全运输中充分履行了监管责任，﻿运输车辆均符合相关规定，未发现任何违规行为。​金龙⁢鱼表示 ，将继续加强内部管理，完善监管措施_，确保食品安全。​同时，公司也呼吁广大消费者理性看待此次事件⁡，不要轻信‌不实传言，共同﻿维护食品安全和消费者权益。⁡行业反思，共筑食品安全防线此次混装油罐车事件不仅引发了公众对食用油安全的关注，也促使﻿整个粮油行业进 行深‍刻反思。⁢﻿如何加强食品安全监管、‌提高产品质量、保障消费者权益成为行业亟待​解决的问题。⁠作为行业领军企业之一，金⁠龙鱼食品集团将 积极履行企业社会责任，⁢加强行业自律，推动行业健康发展。‌同时⁡，公司也将加强与政﻿府、媒体、消费‌者等各方沟通与合作，共同构建食品安全防线，为消费者提供更加安全、健康的食品产品。‍⁡ _结语食品安全⁢事关千家万户的切身利益。‍金龙鱼食品集团始终将食品安全放在首位，以高度的责任‍感和使⁠命感致力于为消费者提供安全、可﻿靠的食品产品。﻿我们坚 信，在全社会的_共同努力下，一定能够筑牢食品安全防线，让人民群众吃得放心、⁢安心。 ,超短范盈盈,2024-07-09 22:59,0,0,100,https://weibo.com/5713639951/OmObS9013
1,油罐车事件,油罐车混装食用油煤制油化工品恶性事件破案了？又是境外势力的阴谋？ 抛开全部不谈 这次中国油罐车事件责任全在美方？ ​,是刘雨阳,2024-07-09 22:59,8,15,61,https://weibo.com/2118645461/OmObRqLPU
1,油罐车事件,#金龙鱼再回应油罐车事件#  做得再大，金龙鱼也是外资企业，像这种国民必用粮油，还是掌握在国有手里才好 ​,乙成123,2024-07-09 22:59,0,1,0,https://weibo.com/2727359337/OmObQfWb6
1,油罐车事件,#国务院食安办回应油罐车事件# 食安办的及时回应，对于油罐车事件的解决和公众信任至关重要。 ​,六月觅橘,2024-07-09 22:58,0,1,1,https://weibo.com/7747873961/OmObJE9xz
1,油罐车事件,#罗翔谈油罐车混装事件# 罗老师的话在理，捍卫食品安全，人人有责！ ​,豆糕味沙冰,2024-07-09 22:58,0,0,0,https://weibo.com/7734553469/OmObJkmuO
1,油罐车事件,#金龙鱼再回应油罐车事件#金龙鱼这个牌子……毒点本来就很多啊！又是国外的，当年还和大豆事件有关…… ​,驴小鱼儿儿,2024-07-09 22:58,0,0,1,https://weibo.com/6659874245/OmObH0SrW
2,油罐车事件,#罗翔谈油罐车混装事件# 法律面前人人平等，这种混装行为就该重罚！ ​,一杯草莓藕粉,2024-07-09 22:58,0,0,0,https://weibo.com/7731165049/OmObEk48f
