page,keyword,content,user,time,reposts,comments,likes,url
1,巴黎奥运会开幕式,#票叔的龙门阵#X上骂声一片，老区人民自己都看不下去的《巴黎奥运会开幕式》，豆瓣开分9.0，短评更是异常精彩，就是不知道这群土殖，知不知道自己发的每一条，都被外网与X上的评论，化作了回旋镖，全都精准的劈了回来 ​,电影票房,2024-07-27 18:50,0,0,0,https://weibo.com/1864135524/OpwfU7kIw
1,巴黎奥运会开幕式,巴黎奥运会人类历史上最耻辱的一次奥运会开幕式，这张图片，这个男的表演者在奥运会开幕式公开暴露睾丸，害怕不过审我已经打了马赛克，愿意大家自己去找，开幕式都是些同性恋者，跨性别者，各种lgbt妖魔鬼怪，美化300斤女的，以及同性恋开幕式亲嘴，还有三个人搂在一块亲？在表达什么？自由是滥交？3p？上帝啊救救西方世界吧，他们已经被万恶的极左渗透了，他们愚民，他们洗脑，他们让孩子小学就教育跨性别去变性， ,凉兮回来了,2024-07-27 18:50,0,0,0,https://weibo.com/6553977023/OpwfSBmLw
1,巴黎奥运会开幕式,巴黎奥运会开幕式还蛮帅的 比想象中好多了#奥运会开幕式直播# ​,明知许,2024-07-27 18:50,0,0,0,https://weibo.com/7528464099/OpwfPmrQK
1,巴黎奥运会开幕式,/@诨名唤作巴布尔:这个致敬伟大女性的环节好震撼，配上马赛曲，听得人浑身战栗。一个民族最动人的永远是它要传递出来的价值观。  #巴黎奥运会开幕式# ​​​对，这个雨下得很妙@Qing你吃栗子:精妙的是，每座雕塑在突来大雨中升起来的时刻更具象地表达了无数优秀女性们在历史的风雨中坚毅站立，屹立不倒,无可无不可_Smile,2024-07-27 18:50,0,0,0,https://weibo.com/6990222764/OpwfNCbGx
1,巴黎奥运会开幕式,#李惠仁由于起床气缺席奥运会开幕式#//@WhiteWall5-:李惠仁没有宣布不参加巴黎奥运会,OA-早川秋的狗,2024-07-27 18:50,0,0,0,https://weibo.com/7441956578/OpwfN468s
1,巴黎奥运会开幕式,看完巴黎奥运会开幕式火速去下单了一只蒂蒂🥰🥰 ​,吃西瓜不吐籽儿的小屁孩,2024-07-27 18:50,0,0,0,https://weibo.com/3191918085/OpwfHs9tA
1,巴黎奥运会开幕式,加油💪//@Zz罗一舟:#中国队奥运加油# 期待巴黎奥运会开幕式！期待中国代表团出场！,爱镒儿,2024-07-27 18:50,0,0,0,https://weibo.com/2181525392/OpwfHs9cx
1,巴黎奥运会开幕式,再重温一下巴黎奥运会开幕式上，蒙娜丽莎被小黄人偷走了的片段。 L环球纪录频道的微博视频 ​,环球纪录频道,2024-07-27 18:50,1,1,3,https://weibo.com/5867737487/OpwfE2dLZ
1,巴黎奥运会开幕式,这位网友被国内的法吹给骗惨了，她以为巴黎奥运会开幕式真的是免费观看的，结果到现场才发现像监狱一样，到处都被围起来，根本进不去啊#巴黎开幕式 争议##全民聊奥运##热门视频# L南归孤夷的微博视频 ​,南归孤夷,2024-07-27 18:50,0,0,0,https://weibo.com/7782884695/OpwfDqAQp
1,巴黎奥运会开幕式,巴黎奥运会开幕之前，中国这边的很多自媒体可以说舔出了高度舔出了水平，他们说整个巴黎就是巨大的开放场馆，没有封闭场馆，人人参与，无设限，无设防。这个文案从微博到小红书到抖音全都是。而实际的情况是，法国警方整个封锁了塞纳河，关键的街道都是隔离围栏，整个巴黎被封成了监狱一样，到处设限，到处设防。“你一个法国人懂什么法国！哪有中国跪舔外国的自媒体懂！”#巴黎开幕式 争议# ,正直的磊哥,2024-07-27 18:49,0,0,3,https://weibo.com/1771474495/OpwfDiTHF
2,巴黎奥运会开幕式,巴黎奥运会开幕式艺术生狂喜#巴黎开幕式有瑕疵但够艺术# ​,歪梨小屋,2024-07-27 18:50,0,0,0,https://weibo.com/2757987464/OpwfDhNkM
2,巴黎奥运会开幕式,果然洋相还得洋人出啊本以为东京奥运会开幕式够炸裂了没想到巴黎的更炸裂 ​,娱小音儿,2024-07-27 18:49,0,0,0,https://weibo.com/6925235653/OpwfAAYuT
2,巴黎奥运会开幕式,哈哈……//@冷季:如果幸福是巴黎奥运会开幕式，那我是简中顺直。,暴力鼠酱,2024-07-27 18:49,0,0,0,https://weibo.com/2691854623/Opwfz7rnp
2,巴黎奥运会开幕式,岁月静好，享受每一次丫丫的吃播！孟菲斯的丫丫乐乐超话大熊猫丫丫507超话#巴黎奥运会开幕式#,现代抽象派,2024-07-27 18:49,0,0,0,https://weibo.com/1900054255/OpwfvDZ9u
2,巴黎奥运会开幕式,#巴黎奥运会开幕式#巴黎奥运会开幕式花费1.2亿欧元北京奥运会开幕式花费折合欧元是8000万欧元吹松弛感啥的，可以，但别忽略花的钱看到网上不少统计中国办奥运花的钱，是把鸟巢水立方的建筑费用也算进去，不是，哥们儿，那体育馆是办完奥运就拆吗？北京不配有个大点的体育场吗…… ​,呆萌海豹,2024-07-27 18:49,0,0,0,https://weibo.com/1574419007/Opwfs7tnb
2,巴黎奥运会开幕式,巴黎奥运会开幕式太好看了，我喜欢！世界大同，不分族群，开放和包容！ ​,Aaaxuan_,2024-07-27 18:49,0,0,1,https://weibo.com/2234905061/Opwfq1cGl
2,巴黎奥运会开幕式,世界的多元化在2024巴黎奥运会开幕式上展示的淋漓尽致！这才人类原来的样子啊！ ​,佳丽地2013,2024-07-27 18:49,0,0,0,https://weibo.com/7497867355/OpwfnzN9K
2,巴黎奥运会开幕式,为什么会有人觉得巴黎奥运会开幕不好看 集结了艺术 文化 多元 历史 女性主义的开幕式 不愧是法国😭  包容开放 富有西方美学 ​,Rachel__M_,2024-07-27 18:49,0,0,0,https://weibo.com/6540028656/OpwfnjhHu
2,巴黎奥运会开幕式,巴黎奥运会开幕式 央视解说版 ​,热心市民某洋,2024-07-27 18:49,0,1,1,https://weibo.com/1715505492/OpwfkFLqk
2,巴黎奥运会开幕式,巴黎奥运会开幕式很绝！！ ​,山言山雨_,2024-07-27 18:49,0,0,0,https://weibo.com/2935501523/Opwfkoamf
